Course,KSA,KSA Description,Category,Objective
CIT130,40,Knowledge of organization's evaluation and validation requirements,Systems Testing and Evaluation,
CIT130,41,Knowledge of organization's Local Area Network (LAN)/Wide Area Network (WAN) pathways,Infrastructure Design,4. Discuss the structure and components of business phone and data networks  6. Describe the operation of common Local Area and Wide Area network protocols  
CIT130,42,"Knowledge of electrical engineering as applied to computer architecture, including circuit boards, processors, chips, and associated computer hardware",Hardware Engineering,
CIT130,43,Knowledge of embedded systems,Embedded Computers,
CIT130,44,Knowledge of enterprise messaging systems and associated software,Enterprise Architecture,
CIT130,46,Knowledge of fault tolerance,Information Assurance,
CIT130,49,"Knowledge of host/network access controls (e.g., access control list)",Information Systems/Network Security,
CIT130,50,Knowledge of how network services and protocols interact to provide network communications,Infrastructure Design,6. Describe the operation of common Local Area and Wide Area network protocols  
CIT130,51,"Knowledge of how system components are installed, integrated, and optimized",Systems Integration,
CIT130,52,Knowledge of human-computer interaction principles,Human Factors,
CIT130,53,Knowledge of the Security Assessment and Authorization (SA&A) process,Information Assurance,
CIT130,55,"Knowledge of Information assurance (IA) principles used to manage risks related to the use, processing, storage, and transmission of information or data",Information Assurance,
CIT130,56,Knowledge of information assurance (IA) principles and methods that apply to software development,Information Assurance,
CIT130,58,"Knowledge of known vulnerabilities from alerts, advisories, errata, and bulletins ",Information Systems/Network Security,
CIT130,59,Knowledge of Intrusion Detection System (IDS) tools and applications,Computer Network Defense,
CIT130,60,"Knowledge of incident categories, incident responses, and timelines for responses",Incident Management,
CIT130,61,Knowledge of incident response and handling methodologies,Incident Management,
CIT130,62,Knowledge of industry-standard and organizationally accepted analysis principles and methods,Logical Systems Design,
CIT130,63,"Knowledge of Information Assurance principles and tenets (confidentiality, integrity, availability, authentication, non-repudiation).",Information Assurance,
CIT130,64,Knowledge of information security systems engineering principles,Information Systems/ Network Security,
CIT130,65,Knowledge of information theory,Mathematical Reasoning,
CIT130,66,Knowledge of intrusion detection methodologies and techniques for detecting host- and network-based intrusions via intrusion detection technologies,Computer Network Defense,
CIT130,68,Knowledge of information technology (IT) architectural concepts and frameworks,Information Technology Architecture,
CIT130,69,Knowledge of Risk Management Framework (RMF) requirements,Information Systems Security Certification,
CIT130,70,"Knowledge of information technology (IT) security principles and methods (e.g., firewalls, demilitarized zones, encryption)",Information Systems/Network Security,
CIT130,72,"Knowledge of local area network (LAN) and wide area network (WAN) principles and concepts, including bandwidth management",Infrastructure Design,4. Discuss the structure and components of business phone and data networks  6. Describe the operation of common Local Area and Wide Area network protocols  11. Identify concerns and potential solutions for bandwidth constraints 
CIT130,74,"Knowledge of low level computer languages (e.g., assembly languages)",Computer Languages,
CIT130,75,"Knowledge of mathematics, including logarithms, trigonometry, linear algebra, calculus, and statistics",Mathematical Reasoning,
CIT130,76,Knowledge of measures or indicators of system performance and availability,Information Technology Performance Assessment,
CIT130,77,"Knowledege of current industry methods for evaluating, implementing, and disseminating information technology (IT) security assessment, monitoring, detection, and remediation tools and procedures, utilizing standards-based concepts and capabilities",Information Systems/Network Security,3. Explain and identify the role of standards and standards organizations in the data communications market place   12. Understand the security aspects of data communications and implications in implementing and managing communications resources 
CIT130,78,Knowledge of microprocessors,Computers and Electronics,
CIT130,79,"Knowledge of network access, identity, and access management (e.g., public key infrastructure [PKI])",Identity Management,
CIT130,81,"Knowledge of network communication protocols such as TCP/IP, Dynamic Host Configuration, Domain Name Server (DNS), and directory services",Infrastructure Design,4. Discuss the structure and components of business phone and data networks  6. Describe the operation of common Local Area and Wide Area network protocols  9. Review the history and operations of the TCP/IP protocol suite   
CIT130,82,"Knowledge of network design processes, to include understanding of security objectives, operational objectives, and tradeoffs",Infrastructure Design,
CIT130,83,Knowledge of network hardware devices and functions,Hardware,
CIT130,87,Knowledge of network traffic analysis methods,Information Systems/Network Security,
CIT130,88,Knowledge of new and emerging information technology (IT) and information security technologies,Technology Awareness,12. Understand the security aspects of data communications and implications in implementing and managing communications resources 
CIT130,89,Knowledge of new technological developments in server administration,Technology Awareness,
CIT130,90,Knowledge of operating systems,Operating Systems,14.  Describe Network Operating Systems 
CIT130,92,"Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol and Internet Protocol [TCP/IP], Open System Interconnection model [OSI], Information Technology Infrastructure Library, v3 [ITIL])",Infrastructure Design,4. Discuss the structure and components of business phone and data networks  5. Describe the seven layers of the OSI model; identify the major functions of each layer and its use in the business communications process 9.Review the history and operations of the TCP/IP protocol suite 10. Discuss the structure and operation of the Internet and its importance to business today 
CIT130,93,Knowledge of packet-level analysis,Vulnerabilities Assessment,
CIT130,94,Knowledge of parallel and distributed computing concepts,Information Technology Architecture,
CIT130,95,"Knowledge of penetration testing principles, tools, and techniques (e.g., metasploit, neosploit)",Vulnerabilities Assessment,
CIT130,96,Knowledge of performance tuning tools and techniques,Information Technology Performance Assessment,
CIT130,98,Knowledge of policy-based and risk adaptive access controls,Identity Management,
CIT130,99,Knowledge of principles and methods for integrating server components,Systems Integration,
CIT130,100,Knowledge of Privacy Impact Assessments (PIA),Personnel Safety and Security,
CIT130,101,Knowledge of process engineering concepts,Logical Systems Design,
CIT130,102,Knowledge of programming language structures and logic,Computer Languages,
CIT130,104,Knowledge of query languages such as Strcutured Query Language (SQL),Database Management Systems,
CIT130,105,"Knowledge of legal governance related to Computer Network Defense (e.g., Chairman of the Joint Chief of Staff Manual, Executive Order 12333), computer monitoring, and collection.","Legal, Government and Jurisprudence",
CIT130,106,Knowledge of remote access technology concepts,Information Technology Architecture,
CIT130,107,Knowledge of resource management principles and techniques,Project Management,
CIT130,108,"Knowledge of risk management processes, including steps and methods for assessing risk",Risk Management,
CIT130,109,Knowledge of secure configuration management techniques,Configuration Management,
CIT130,110,Knowledge of security management,Information Assurance,12. Understand the security aspects of data communications and implications in implementing and managing communications resources 
CIT130,111,"Knowledge of security system design tools, methods, and techniques",Information Systems/Network Security,
CIT130,112,"Knowledge of server administration and systems engineering theories, concepts, and methods",Systems Life Cycle,
CIT130,113,Knowledge of server and client operating systems  ,Operating Systems,"13. Explain the role of clients, servers and associated security issues 14.  Describe Network Operating Systems "
CIT130,114,Knowledge of server diagnostic tools and fault identification techniques,Computer Forensics,
CIT130,115,Knowledge of content development,Computer Network Defense,
CIT130,116,Knowledge of software debugging principles,Software Development,
CIT130,117,"Knowledge of software design tools, methods, and techniques",Software Development,
CIT130,118,"Knowledge of software development models (e.g., waterfall model, spiral model)",Software Engineering,
CIT130,119,Knowledge of software engineering,Software Engineering,
CIT130,120,"Knowledge of sources, characteristics, and uses of the organization?s data assets",Data Management,
CIT130,121,Knowledge of structured analysis principles and methods,Logical Systems Design,
CIT130,122,Knowledge of system administration concepts for Unix/Linux and/or Windows operating systems.,Operating Systems,14.  Describe Network Operating Systems 
CIT130,123,Knowledge of system and application security threats and vulnerabilities ,Vulnerabilities Assessment,
CIT130,124,"Knowledge of system design tools, methods, and techniques, including automated system analysis and design tools",Logical Systems Design,
CIT130,126,"Knowledge of system software and organizaional design standards, policies, and authorized approaches (e.g., International Organization for Standardization [ISO] guidelines) relating to system design",Requirements Analysis,
CIT130,127,Knowledge of systems administration concepts,Operating Systems,
CIT130,128,Knowledge of systems diagnostic tools and fault identification techniques,Systems Testing and Evaluation,
CIT130,129,"Knowledge of systems lifecycle management principles, including software security and usability",Systems Life Cycle,
CIT130,130,Knowledge of systems testing and evaluation methods,Systems Testing and Evaluation,
CIT130,132,Knowledge of technoloy integration processes,Systems Integration,
CIT130,133,Knowledge of telecommunications concepts,Telecommunications,2. Describe how data is communicated as a signal     8.  Identify and contrast enabling technologies in both the business network environment as well as for residential applications
CIT130,134,"Knowledge of the capabilities and functionality associated with various content creation technologies (e.g., wikis, social networking, blogs)",Technology Awareness,
CIT130,135,"Knowledge of the capabilities and functionality associated with various technologies for organizing and managing information (e.g., databases, bookmarking engines)",Data Management,
CIT130,136,"Knowledge of the capabilities and functionality of various collaborative technologies (e.g., groupware, SharePoint)",Technology Awareness,
CIT130,137,Knowledge of the characteristics of physical and virtual data storage media,Data Management,
CIT130,138,Knowledge of the computer network defense (CND) service provider reporting structure and processes within one?s own organization,Information Systems/Network Security,
CIT130,139,"Knowledge of common networking protocols (e.g., Transmission Control Protocol and Internet Protocol [TCP/IP]) and services (e.g., web, mail, Domain Name System [DNS]) and how they interact to provide network communications",Infrastructure Design,4. Discuss the structure and components of business phone and data networks 6. Describe the operation of common Local Area and Wide Area network protocols  ?   9.  Review the history and operations of the TCP/IP protocol suite  10. Discuss the structure and operation of the Internet and its importance to business today 
CIT130,141,Knowledge of the enterprise information technology (IT) architecture,Information Technology Architecture,
CIT130,142,Knowledge of the operations and processes for diagnosing common or recurring system problems,Systems Life Cycle,
CIT130,143,Knowledge of the organization?s enterprise information technology (IT) goals and objectives,Enterprise Architecture,
CIT130,144,Knowledge of the systems engineering process,Systems Life Cycle,
CIT130,145,Knowledge of the type and frequency of routine maintenance needed to keep equipment functioning properly.,Systems Life Cycle,
CIT130,146,Knowledge of the types of Intrusion Detection System (IDS) hardware and software,Computer Network Defense,
CIT130,148,Knowledge of VPN security.,Encryption,
CIT130,149,"Knowledge of web services, including service oriented architecture, Simple Object Access Protocol (SOAP), and web service description language",Web Technology,
CIT130,150,Knowledge of what constitutes a network attack and the relationship to both threats and vulnerabilities,Information Systems/Network Security,
CIT130,152,Skill in allocating storage capacity in the design of data management systems,Database Administration,
CIT130,153,Skill in handling malware,Computer Network Defense,
CIT130,154,Skill in analyzing network traffic capacity and performance characteristics,Capacity Management,
CIT130,155,Skill in applying and incorporating information technologies into proposed solutions,Technology Awareness,
CIT130,156,"Skill in applying confidentiality, integrity, and availability principles",Information Assurance,
CIT130,157,"Skill in applying host/network access controls (e.g., access control list)",Identity Management,
CIT130,158,Skill in applying organization-specific systems analysis principles and techniques,Systems Testing and Evaluation,
CIT130,160,Skill in assessing the robustness of security systems and designs,Vulnerabilities Assessment,
CIT130,162,Skill in conducting capabilities and requirements analysis,Requirements Analysis,
CIT130,163,Skill in conducting information searches,Computer Skills,
CIT130,164,Skill in conducting knowledge mapping (map of knowledge repositories),Knowledge Management,
CIT130,165,Skill in conducting open source research for toubleshooting novel client-level problems,Knowledge Management,
CIT130,166,Skill in conducting queries and developing algorithms to analyze data structures,Database Management Systems,
CIT130,167,"Skill in conducting server planning, management, and maintenance",Network Management,
CIT130,168,Skill in conducting software debugging,Software Development,
CIT130,169,Skill in conducting test events,Systems Testing and Evaluation,
CIT130,170,Skill in configuring and optimizing software,Software Engineering,
CIT130,171,Skill in correcting physical and technical problems which impact server performance,Network Management,
CIT130,172,Skill in creating and utilizing mathematical or statistical models,Modeling and Simulation,
CIT130,173,Skill in creating policies that relfect system security objectives,Information Systems Security Certification,
CIT130,174,"Skill in creating programs that validate and process multiple inputs, including command line arguments, environmental variables, and input streams",Software Testing and Evaluation,
CIT130,175,Skill in developing and deploying signatures,Information Systems/Network Security,
CIT130,176,"Skill in designing a data analysis structure (i.e., the types of data your test must generate and how to analyze those data)",Systems Testing and Evaluation,
CIT130,177,Skill in designing countermeasures to identified security risks,Vulnerabilities Assessment,
CIT130,178,Skill in designing databases,Database Administration,
CIT130,179,Skill in designing security controls based on information assurance (IA) principles and tenets,Information Assurance,
CIT130,180,Skill in designing the integration of hardware and software solutions,Systems Integration,
CIT130,181,"Skill in detecting host and network based intrusions via intrusion detection technologies (e.g., Snort)",Computer Network Defense,
CIT130,182,Skill in determining an appropriate level of test rigor for a given system,Systems Testing and Evaluation,
CIT130,183,"Skill in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes",Information Assurance,
CIT130,185,"Skill in developing applications that can log errors, exceptions, and application faults and logging",Software Development,
CIT130,186,Skill in developing data dictionaries,Data Management,
CIT130,187,Skill in developing data models,Modeling and Simulation,
CIT130,188,Skill in developing data repositories,Data Management,
CIT130,190,Skill in developing operations-based testing scenarios,Systems Testing and Evaluation,
CIT130,191,Skill in developing and applying security system access controls,Identity Management,
CIT130,193,"Skill in developing, testing, and implementing network infrastructure contingency and recovery plans",Information Assurance,
CIT130,194,Skill in diagnosing connectivity problems,Network Management,
CIT130,195,Skill in diagnosing failed servers,Network Management,
CIT130,197,"Skill in discerning the protection needs (i.e., security controls) of information systems and networks",Information Systems/Network Security,12. Understand the security aspects of data communications and implications in implementing and managing communications resources 
CIT130,198,Skill in establishing a routing schema,Infrastructure Design,
CIT130,199,Skill in evaluating the adequacy of security designs,Vulnerabilities Assessment,
CIT130,201,Skill in generating queries and reports,Database Management Systems,
CIT130,202,"Skill in identifying and anticipating server performance, availability, capacity, or configuration problems",Information Technology Performance Assessment,
CIT130,203,"Skill in identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system",Information Technology Performance Assessment,
CIT130,204,Skill in identifying possible causes of degradation of system performance or availability and initiating actions needed to mitigate this degradation,Systems Life Cycle,
CIT130,205,"Skill in implementing, maintaining, and improving established security practices",Information Systems/Network Security,
CIT130,206,Skill in installing computer and server upgrades,Systems Life Cycle,
CIT130,207,"Skill in installing, configuring, and troubleshooting local area network (LAN) and wide area network (WAN)",,6. Describe the operation of common Local Area and Wide Area network protocols  
CIT130,208,Skill in maintaining databases,Database Management Systems,
CIT130,209,Skill in maintaining directory services,Identity Management,
CIT130,210,Skill in mimicking threat behaviors,Computer Network Defense,
CIT130,211,Skill in monitoring and optimizing server performance,Information Technology Performance Assessment,
CIT130,212,Skill in network mapping and recreating network topologies,Infrastructure Design,"7. Demonstrate knowledge of media, topologies, hub/switches, routers, and network interface cards"
CIT130,213,Skill in optimizing database performance,Database Administration,
CIT130,214,"Skill in performing packet-level analysis using appropriate tools (e.g., Wireshark, tcpdump)",Vulnerabilities Assessment,9. Review the history and operations of the TCP/IP protocol suite 
CIT130,216,Skill in recovering failed servers,Incident Management,
CIT130,217,Skill in preserving evidence integrity according to standard operating procedures or national standards,Computer Forensics,
CIT130,219,Skill in system administration for Unix/Linux operating systems,Operating Systems,
CIT130,220,Skill in systems integration testing,Systems Testing and Evaluation,
CIT130,221,Skill in testing and configuring network workstations and peripherals,Network Management,
CIT130,222,Skill in the basic operation of computers,Computer Skills,
CIT130,223,Skill in the measuring and reporting of intellectual capital,Knowledge Management,
CIT130,224,"Skill in the use of design modeling (e.g., unified modeling language)",Modeling and Simulation,
CIT130,225,Skill in the use of penetration testing tools and techniques,Vulnerabilities Assessment,
CIT130,226,Skill in the use of social engineering techniques,Human Factors,
CIT130,227,Skill in tuning sensors,Computer Network Defense,
CIT130,229,Skill in using incident handling methodologies,Incident Management,
CIT130,230,Skill in using knowledge management technologies,Knowledge Management,
CIT130,231,"Skill in using network management tools to analyze network traffic patterns (e.g., simple network management protocol)",Network Management,
CIT130,233,Skill in using protocol analyzers,Vulnerabilities Assessment,
CIT130,234,Skill in using sub-netting tools,Infrastructure Design,
CIT130,235,"Skill in using the appropriate tools for repairing software, hardware, and peripheral equipment of a system",Computers and Electronics,
CIT130,237,Skill in using Virtual Private Network (VPN) devices and encryption,Encryption,
CIT130,238,"Skill in writing code that is compatible with legacy code (e.g., Common Business-Oriented Language [COBOL], FORTRAN IV)in a modern programming language (e.g., Java, C++)",Computer Languages,
CIT130,239,Skill in writing test plans,Systems Testing and Evaluation,
CIT130,244,Ability to determine the validity of technology trend data,Technology Awareness,
CIT130,246,Knowledge and experience in the Instructional System Design (ISD) methodology,Multimedia Technologies,
CIT130,252,"Knowledge of and experience in Insider Threat investigations, reporting, investigative tools and laws/regulations",Computer Network Defense,
CIT130,261,"Knowledge of basic concepts, terminology, and operations of a wide range of communications media (computer and telephony networks, satellite, fiber, wireless)",Telecommunications,
CIT130,264,"Knowledge of basic physical computer components and architectures, including the functions of various components and peripherals (e.g., central processing units [CPUs], network interface cards [NICs], data storage)",Computers and Electronics,
CIT130,269,Knowledge of CNE/CNA/CNO methodologies,Computer Network Defense,
CIT130,270,"Knowledge of common adversary tactics, techniques, and procedures (TTPs) in assigned area of responsibility (e.g., historical country-specific TTPs, emerging capabilities)",Computer Network Defense,
CIT130,271,"Knowledge of common network tools (e.g., ping, traceroute, nslookup)",Infrastructure Design,4. Discuss the structure and components of business phone and data networks 
CIT130,274,"Knowledge of concepts, principles, methods, and tools related to processing and exploitation",Computer Network Defense,
CIT130,277,Knowledge of defense in-depth principles and network security architecture,Computer Network Defense,
CIT130,278,"Knowledge of different types of network communication (e.g., Local Area Network [LAN], Wide Area Network [WAN], Metropolitan Area Network [MAN], Wireless Local Area Networm [WLAN], Wireless Wide Area Network [WWAN])",Telecommunications,6. Describe the operation of common Local Area and Wide Area network protocols  
CIT130,281,"Knowledge of electronic devices (e.g., computer systems/components, access control devices, digital cameras, electronic organizers, hard drives, memory cards, modems, network components, printers, removable storage devices, scanners, telephones, copiers, credit card skimmers, facsimile machines, global positioning systems [GPSs])",Hardware,
CIT130,282,Knowledge of emerging computer-based technology that has potential for exploitation by adversaries,Technology Awareness,
CIT130,284,"Knowledge of encryption algorithms and tools for WLANs (e.g., SSL, PGP)",Cryptography,
CIT130,285,"Knowledge of evasion strategies and techniques (e.g., noise, stealth, situational awareness, bandwidth throttling)",Computer Network Defense,
CIT130,286,"Knowledge of file extensions (e.g., .dll, .bat, .zip, .pcap, .gzip)",Operating Systems,
CIT130,287,"Knowledge of file system Implementations (e.g., New Technology File System [NTFS], File Allocation Table [FAT], File Extentsion [EXT])",Operating Systems,
CIT130,290,"Knowledge of processes for seizing and preserving digital evidence (e.g., chain of custody)",Forensics,
CIT130,294,Knowledge of hacking methodologies in Windows or Unix/Linux environment,Surveillance,
CIT130,296,"Knowledge of how information needs and collection requirements are translated, tracked, and prioritized across the extended enterprise",External Awareness,
CIT130,297,Knowledge of industry indicators useful for identifying technology trends,Technology Awareness,
CIT130,299,Knowledge of information security program management and project management principles and techniques,Project Management,
CIT130,300,"Knowledge of intelligence reporting principles, policies, procedures, and vehicles, including report formats, reportability criteria (requirements and priorities), dissemination practices, and legal authorities and restrictions",Organizational Awareness,
CIT130,302,"Knowledge of investigative implications of hardware, operating systems, and network technologies",Computer Forensics,
CIT130,305,"Knowledge of laws that affect cyber security (e.g., Wiretap Act, Pen/Trap and Trace Statue, Stored Electronic Communication Act)",Forensics,
CIT130,310,"Knowledge of legal governance related to admissibility (e.g., Federal Rules of Evidence)",Criminal Law,
CIT130,313,Knowledge of logging services for network devices,Information Systems/Network Security,
CIT130,314,Knowledge of multiple cognitive domains and appropriate tools and methods for learning in each domain,Teaching Others,
CIT130,316,"Knowledge of processes for collecting, packaging, transporting and storing electronic evidence to avoid alteration, loss, physical damage or destruction of data.",Criminal Law,
CIT130,320,Knowledge of external organizations and academic institutions dealing with cybersecurity issues,External Awareness,
CIT130,321,"Knowledge of products and nomenclature of major vendors (e.g., security suites)(Trend Micro, Symantec, McAfee, Outpost, Panda, Kaspersky, etc.) and how differences affect exploitation/vulnerabilities",Technology Awareness,
CIT130,322,"Knowledge of router and routing processes, connections, protocols, and configuration (including their effects on operations)",Infrastructure Design,
CIT130,325,"Knowledge of secure acquisitions (e.g., relevant Contracting Officer's Technical Representative [COTR] duties, secure procurement, supply chain risk management)",Contracting/Procurement,
CIT130,326,"Knowledge of security hardware and software options, including the network artifacts they induce and their effects on exploitation",Information Systems/Network Security,
CIT130,327,Knowledge of security implications of software configurations,Information Assurance,
CIT130,329,Knowledge of surveillance detection and countermeasures,Surveillance,
CIT130,332,Ability to develop curriculum that speaks to the topic at the appropriate level for the target audience,Teaching Others,
CIT130,336,"Knowledge of the nature and function of the relevant information structure (e.g., National Information Infrastructure [NII])",Telecommunications,
CIT130,337,"Knowledge of the nexus between Cyber Counter-Intelligence and other Intelligence operations (i.e., How/ Where/ When Cyber Counter-Intelligence fits in, etc.)",External Awareness,
CIT130,338,"Knowledge of the principal methods, procedures, and techniques of gathering information and producing, reporting, and sharing intelligence",Reasoning,
CIT130,339,"Knowledge of the structure and intent of military operation plans, concept operation plans,  orders, and standing rules of engagement",Organizational Awareness,
CIT130,340,Knowledge of types and collection of persistent data,Computer Forensics,
CIT130,341,"Knowledge of UNIX and Windows systems that provide radius authentication, Domain Name Server, mail, web service, FTP server, DHCP, firewall, and simple network management protocol",Operating Systems,6. Describe the operation of common Local Area and Wide Area network protocols  
CIT130,342,"Knowledge of Unix command line (e.g., mkdir, mv, ls, passwd, grep)",Computer Languages,
CIT130,344,Knowledge of virtualization technologies and virtual machine development and maintenance,Operating Systems,
CIT130,345,"Knowledge of web mail collection, searching/analyzing techniques, tools, and cookies",Web Technology,
CIT130,346,"Knowledge of which system files (e.g. log files, registry files, configuration files) contain relevant information and where to find those system files",Computer Forensics,
CIT130,347,"Knowledge of Windows command line (e.g., ipconfig, netstat, dir, nbtstat)",Operating Systems,
CIT130,348,"Knowledge of wireless network collection tactics, techniques, and procedures to include decryption tools, techniques, and procedures",Cryptography,
CIT130,349,"Skill in analyzing data from a variety of Computer Network Defense resources (e.g., signals intelligence, open source intelligence, Computer Network Defense tools)",Reasoning,
CIT130,350,Skill in analyzing memory dumps to extract information,Reasoning,
CIT130,352,"Skill in applying white hack hacking/security auditing techniques, procedures and tools",Vulnerabilities Assessment,
CIT130,353,"Skill in collecting data from a variety of Computer Network Defense resources (e.g., signals intelligence, open source intelligence, Computer Network Defense tools)",Computer Network Defense,
CIT130,355,Skill in creating plans in support of remote endpoint operations,Requirements Analysis,
CIT130,356,Skill in determining installed patches on various operating systems and identifying patch signatures,Operating Systems,
CIT130,357,Skill in determining the effects of various router configurations on traffic patterns and network performance in both LAN and WAN environments,Configuration Management,
CIT130,358,"Skill in determining tactics, techniques, and procedures",Strategic Thinking,
CIT130,359,Skill in developing and executing technical training programs and curricula,Computer Forensics,
CIT130,360,"Skill in identifying and extracting data of forensic interest in diverse media (i.e., media forensics)",Computer Forensics,
CIT130,361,Skill in gathering and analyzing all-source information in support of indications and warnings,Reasoning,
CIT130,363,Skill in identifying gaps in technical capabilities,Teaching Others,
CIT130,364,"Skill in identifying, modifying, and manipulating applicable system components (Window and/or Unix/Linux) (e.g., passwords, user accounts, files)",Operating Systems,
CIT130,366,Skill in law enforcement report writing,Technical Documentation,
CIT130,367,Skill in multi-disciplined intelligence report writing,Writing,
CIT130,368,Skill in navigating mapping tools,Computer Skills,
CIT130,369,"Skill in collecting, processing, packaging, transporting and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data.",Forensics,
CIT130,371,"Skill in reading, interpreting, writing, modifying, and executing simple scripts (e.g., PERL, VBS) on Windows and UNIX systems (e.g., those that perform tasks like parsing large data files, automating manual tasks, and fetching/processing remote data)",Operating Systems,
CIT130,374,Skill in setting up a forensic workstation,Forensics,
CIT130,375,"Skill in survey, collection, and analysis of wireless LAN metadata",Network Management,
CIT130,376,Skill in talking to others to convey information effectively,Oral Communication,
CIT130,377,Skill in tracking and analyzing technical and legal trends that will impact cyber activities,"Legal, Government and Jurisprudence",
CIT130,379,Skill in using common digital forensics tools and techniques,Computer Forensics,
CIT130,381,"Skill in using forensic tool suites (e.g. EnCase, Sleuthkit, Forensic Tool Kit [FTK])",Computer Forensics,
CIT130,383,Skill in using scientific rules and methods to solve problems,Reasoning,
CIT130,385,Skill in using traceroute analysis tools,Network Management,
CIT130,386,Skill in using virtual machines,Operating Systems,
CIT130,387,Skill in verifying the integrity of encrypted files,Encryption,
CIT130,389,Skill in physically disassembling personal computers (PCs),Computers and Electronics,
CIT130,886,"Skill in wireless network target analysis, templating, and geolocation",Vulnerabilities Assessment,
CIT130,888,Knowledge of types of digital forensics data and how to recognize them,Computer Forensics,
CIT130,889,Knowledge of deployable forensics,Computer Forensics,
CIT130,890,"Skill in conducting forensic analyses in multiple operating system environments (e.g., mobile device systems)",Computer Forensics,
CIT130,891,"Skill in configuring and utilizing hardware-based computer protection components (e.g., hardware firewalls, servers, routers)",Configuration Management,
CIT130,892,"Skill in configuring and utilizing software-based computer protection tools (e.g., software firewalls, anti-virus software, anti-spyware)",Configuration Management,
CIT130,893,Skill in securing network communications,Information Assurance,
CIT130,895,Skill in recognizing and categorizing types of vulnerabilities and associated attacks,Information Assurance,
CIT130,896,Skill in protecting a network against malware,Computer Network Defense,
CIT130,897,Skill in performing damage assessments,Information Assurance,
CIT130,899,"Skill in gathering information from cyber social networks (e.g., MySpace, Facebook etc.)",Information Management,
CIT130,900,Knowledge of web filtering technologies,Web Technology,
CIT130,901,"Knowledge of the capabilities of different electronic communication systems and methods (e.g., e-mail, Voice over Internet Protocol [VoIP], Instant Messenger [IM], web forums, direct video broadcasts)",Network Management,8. Discuss the structure and components of business phone and data networks
CIT130,902,"Knowledge of the range of existing networks (e.g., Private Branching Exchange [PBX], Local Area Networks [LANs], Wide Area Networks [WANs], Wireless Fiedlity [WI-FI])",Network Management,6. Describe the operation of common Local Area and Wide Area network protocols  
CIT130,903,Knowledge of Wireless Fidelity (WI-FI),Network Management,
CIT130,904,Knowledge of interpreted and compiled computer languages,Computer Languages,
CIT130,905,Knowledge of secure coding techniques,Computer Languages,
CIT130,907,Skill in data mining techniques,Data Management,
CIT130,908,Ability to decrypt digital data collections,Computer Forensics,
